,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL,data_chart
46,Talarica,"Rennan da Penha",226326,https://open.spotify.com/track/01mKvmXQLhr3MEoiAEAcP2,2020-10-08
47,Dynamite,BTS,219984,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY,2020-10-08
48,"Rave do Papa - Deluxe (feat. Mc Rennan, MC Bruna Alves, MC BN & MC Rick) - Remix","Dj W-Beatz",219916,https://open.spotify.com/track/59CnMc5PR9GdDFEVOpHSg9,2020-10-08
49,"A Gente Fez Amor - Ao Vivo","Gusttavo Lima",219409,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5,2020-10-08
50,"Não Valeu","Wesley Safadão",215249,https://open.spotify.com/track/1GWUiFYLYEapxYHnASyOud,2020-10-08
51,"Alô Ambev (Segue Sua Vida) - Ao Vivo","Zé Neto & Cristiano",210586,https://open.spotify.com/track/5m5aY6S9ttfIG157xli2Rs,2020-10-08
52,"Libera Ela - Ao Vivo","Maiara & Maraisa",204200,https://open.spotify.com/track/0SJtvFn4vqgJPscSbEPaql,2020-10-08
53,"Despedida - Ao Vivo","Wesley Safadão",204146,https://open.spotify.com/track/5LpLYzpV0HWKI2DlPmNywg,2020-10-08
54,BRABA,"Luísa Sonza",202216,https://open.spotify.com/track/2WlZuBDgLfT7Kc0admhFdg,2020-10-08
55,"Pipa Voada (feat. Emicida)",Rashid,200276,https://open.spotify.com/track/3oqC4Ta40ft6NnTJwcUTdi,2020-10-08
56,"Don't Start Now","Dua Lipa",187270,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,2020-10-08
57,"Alô Ex-Amor - Ao Vivo","João Bosco e Gabriel",185768,https://open.spotify.com/track/2QCwoYDn4DRfjs4NhW2KpO,2020-10-08
58,"Manda Áudio","Di Propósito",183622,https://open.spotify.com/track/0in6Rc29qdyOkhKyYw4A84,2020-10-08
59,"Homenagem aos Relíquias (feat. Menor MC, MC Vinny, MC Julio D.E R., MC Leozinho ZS & Makalo)","DJ Matt D",178646,https://open.spotify.com/track/4vDC52DnSqAjec5Vh5yJEb,2020-10-08
60,"Roses - Imanbek Remix","SAINt JHN",178190,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5,2020-10-08
61,"Romance Desapegado","Japinha Conde",177670,https://open.spotify.com/track/54OqGd3dmug64db0ZtOtF4,2020-10-08
62,"É Sal",Matuê,176626,https://open.spotify.com/track/2c80HnIOPMmQQVQllQEWb5,2020-10-08
63,"Cheirosa - Ao Vivo","Jorge & Mateus",176096,https://open.spotify.com/track/2PWjKmjyTZeDpmOUa3a5da,2020-10-08
64,"Lovesick Girls",BLACKPINK,167576,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C,2020-10-08
65,"Segunda Taça - Ao Vivo","João Bosco & Vinicius",161584,https://open.spotify.com/track/23zmMwD99ROi9yhxqMxWil,2020-10-08
66,"Saudade Sua","Gusttavo Lima",160524,https://open.spotify.com/track/6NM06xgqxQ0HU5lxbt2JHi,2020-10-08
67,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",159921,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX,2020-10-08
68,"Declaração pro Bar - Ao Vivo","Guilherme & Benuto",158379,https://open.spotify.com/track/48CAeajgzcGJaVUSsXd7h0,2020-10-08
69,"Mentira - Ao Vivo","Felipe Araújo",157843,https://open.spotify.com/track/3oe0vGmQxem3DcarYMuzu1,2020-10-08
70,"Marília Mendonça",BIN,157608,https://open.spotify.com/track/73uParILjIm5rcP0C2bpMF,2020-10-08
71,"Tudo Indica (feat. Jorge & Mateus) - Ao Vivo","Marcos & Belutti",156682,https://open.spotify.com/track/0eoMMLrWtXbLk64baeESkc,2020-10-08
72,"E Nós Tem um Charme Que É da Hora","Mc Dricka",155879,https://open.spotify.com/track/4koUrXFuoId1b6wrMF3laS,2020-10-08
73,"Hoje É Rave","Bárbara Labres",155848,https://open.spotify.com/track/2CBpRE0A922XhWLSI8AT9O,2020-10-08
74,"Mood (feat. iann dior)",24kGoldn,155047,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,2020-10-08
75,"Amor de Fim de Noite",Orochi,154803,https://open.spotify.com/track/1Nmcs8zk7LfcvHRgLtTM5J,2020-10-08
76,"Pulei na Piscina - Ao Vivo","Guilherme & Benuto",154201,https://open.spotify.com/track/1uA7fD01YlQr1Rm0oyNB4H,2020-10-08
77,Avançada,"MC Kevinho",153277,https://open.spotify.com/track/1fWITNjgwmKEonjikQUaa1,2020-10-08
78,"Ice Cream (with Selena Gomez)",BLACKPINK,150829,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz,2020-10-08
79,Cogulândia,Matuê,146307,https://open.spotify.com/track/5T6mY3sQbvVfLnertXdoST,2020-10-08
80,"Dance Monkey","Tones And I",145770,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2020-10-08
81,"How You Like That",BLACKPINK,143928,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o,2020-10-08
82,"Pode Sumir","Luíza & Maurílio",141702,https://open.spotify.com/track/5OzvtpasMB3aPWpfVr0PsA,2020-10-08
83,Antes,Matuê,139217,https://open.spotify.com/track/2XymTaHTrQWDEuSyhfZvqF,2020-10-08
84,"Kenny G",Matuê,139139,https://open.spotify.com/track/3MkdA6vwF0ifRl86yzTlJW,2020-10-08
85,"Então Toma - Ao Vivo","Matheus & Kauan",136542,https://open.spotify.com/track/5yaXBGNko8lmFSOvKWo99j,2020-10-08
86,Rita,Tierry,136215,https://open.spotify.com/track/1nDCZBI8MaHXI2f36dnQyG,2020-10-08
87,"3 Batidas - Ao Vivo","Guilherme & Benuto",133927,https://open.spotify.com/track/1uryupl9hqVZYurJwH4G9k,2020-10-08
88,"Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix","Maverick Sabre",133193,https://open.spotify.com/track/5PNvgiKSwMdjBsDsgFCFLX,2020-10-08
89,"Uma Vida a Mais (Listen To Your Heart)","Marília Mendonça",132555,https://open.spotify.com/track/2hqRWWmbHT9CTc5a4a9NVe,2020-10-08
90,"Vira Homem","Marília Mendonça",131037,https://open.spotify.com/track/0GrEqRHf5FioT1hOB8PBxZ,2020-10-08
91,"(não) era amor","GIULIA BE",129221,https://open.spotify.com/track/7DmZMqXYgQ1oI3z3bGUEbi,2020-10-08
92,"Eu Feat. Você",Melim,127284,https://open.spotify.com/track/2PaOWQIEkSFkmONCv1Vgui,2020-10-08
93,"Vai Lá","Wesley Safadão",126867,https://open.spotify.com/track/1NFRjwcyR91yN0cLRm8263,2020-10-08
94,"Supera - Ao Vivo","Marília Mendonça",126862,https://open.spotify.com/track/3GmJxfnUDrIs1iCfKUELFz,2020-10-08
95,Girassol,"Priscilla Alcantara",125167,https://open.spotify.com/track/22rcaYTa2UgcLCbeO0NoNj,2020-10-08
96,"Cuidado Que Eu Te Supero","Yasmin Santos",124493,https://open.spotify.com/track/5J4tK2FbXQEeC0AsfFgwpz,2020-10-08
97,"Só Você","Leo Santana",123625,https://open.spotify.com/track/2cV8V9eV79HWJHD4jNQHqq,2020-10-08
98,"Você Nem É Tudo Isso","Marília Mendonça",123243,https://open.spotify.com/track/0zhnWntcmhChM7PXSWuNNq,2020-10-08
99,"Someone You Loved","Lewis Capaldi",123100,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2020-10-08
100,SENTADÃO,"PEDRO SAMPAIO",122613,https://open.spotify.com/track/4lKuzrdZrJuCAedbIslF3A,2020-10-08
101,Pupila,ANAVITÓRIA,122169,https://open.spotify.com/track/7Gk5OrMYaMRtT2JmgJVAfk,2020-10-08
102,Wonder,"Shawn Mendes",120271,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb,2020-10-08
103,"Meu Abrigo",Melim,119939,https://open.spotify.com/track/5U28PY9MekLyCBYtLHGQpe,2020-10-08
104,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,119370,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,2020-10-08
105,"Gorilla Roxo",Matuê,119334,https://open.spotify.com/track/0bV0LtjtZH76gD0ujPYS3n,2020-10-08
106,"Party On My Own (feat. FAULHABER)",Alok,118189,https://open.spotify.com/track/4c9Py6O1NeuYKbJ8Ok7mTl,2020-10-08
