,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL,data_chart
111,"Tempo de Aprender / Energia Surreal / Não Pedi Pra Me Apaixonar - Ao Vivo","Grupo Menos É Mais",121158,https://open.spotify.com/track/3COVZV6VRP4sdXiWTB1XTM,2020-10-12
112,"Áudio - Ao Vivo em Brasília","Diego & Victor Hugo",120666,https://open.spotify.com/track/2PqPSf3gtTED79rWGwVtYg,2020-10-12
113,"Pisadinha - Ao Vivo","Diego & Victor Hugo",120655,https://open.spotify.com/track/36P6ptTyxOggYgR2aoZiAl,2020-10-12
114,"Ice Cream (with Selena Gomez)",BLACKPINK,120074,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz,2020-10-12
115,"Com ou Sem Mim - Ao Vivo","Gustavo Mioto",119779,https://open.spotify.com/track/5L8ZEyIdZ2KE4Wf51SsuOF,2020-10-12
116,"Eu Feat. Você",Melim,119244,https://open.spotify.com/track/2PaOWQIEkSFkmONCv1Vgui,2020-10-12
117,Cogulândia,Matuê,118938,https://open.spotify.com/track/5T6mY3sQbvVfLnertXdoST,2020-10-12
118,"Fatalmente / Separação / Temporal - Ao Vivo","Grupo Menos É Mais",117855,https://open.spotify.com/track/0mpqoslgBvHcnbNZhK8wBO,2020-10-12
119,"Meu Abrigo",Melim,116174,https://open.spotify.com/track/5U28PY9MekLyCBYtLHGQpe,2020-10-12
120,Reincidente,"Felipe Araújo",114665,https://open.spotify.com/track/3XG1frltSxibGuYLPucxl8,2020-10-12
121,"Xereca de Mel","Shevchenko e Elloco",113488,https://open.spotify.com/track/3csAhPJlNeCDnvuTdT8RQw,2020-10-12
122,Antes,Matuê,112123,https://open.spotify.com/track/2XymTaHTrQWDEuSyhfZvqF,2020-10-12
123,Pupila,ANAVITÓRIA,111654,https://open.spotify.com/track/7Gk5OrMYaMRtT2JmgJVAfk,2020-10-12
124,"Party On My Own (feat. FAULHABER)",Alok,111442,https://open.spotify.com/track/4c9Py6O1NeuYKbJ8Ok7mTl,2020-10-12
125,"Tijolão - Ao Vivo","Jorge & Mateus",110210,https://open.spotify.com/track/6QwFUcPc5nhsqZuhXUYtV7,2020-10-12
126,"How You Like That",BLACKPINK,109340,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o,2020-10-12
127,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,108656,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,2020-10-12
128,"Quem me Colocou pra Beber - Ao Vivo","Os Barões Da Pisadinha",108554,https://open.spotify.com/track/6zL1L3AQ50x7qeQUbtXMpM,2020-10-12
129,"Tiro Certo - Ao Vivo","Zé Felipe",108049,https://open.spotify.com/track/5MArTXEVyKBwoodjdy04fk,2020-10-12
130,"Someone You Loved","Lewis Capaldi",106514,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2020-10-12
131,"(não) era amor","GIULIA BE",106181,https://open.spotify.com/track/7DmZMqXYgQ1oI3z3bGUEbi,2020-10-12
132,BALANÇA,"WC no Beat",105955,https://open.spotify.com/track/1neg4NArvpVL7AOWIBja6q,2020-10-12
133,Cabaré,"Dj Guuga",105867,https://open.spotify.com/track/0N2cvvlyEw5NFc00E3FB0D,2020-10-12
134,"Vem Me Satisfazer","MC Ingryd",105568,https://open.spotify.com/track/63SHcJzckFykS8faA5zojY,2020-10-12
135,Recaída,"Grupo Menos É Mais",105403,https://open.spotify.com/track/49rtHPYe4eny7j1sbDrm8j,2020-10-12
136,"Lovesick Girls",BLACKPINK,105136,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C,2020-10-12
137,"Poesia Acústica #6: Era uma Vez","Pineapple StormTv",104994,https://open.spotify.com/track/13Rf6RaZT13TW4xLQR3MQr,2020-10-12
138,"Céu de pipa","MC Marks",104891,https://open.spotify.com/track/2DQ09MyIaXu5F1ly4MEvDM,2020-10-12
139,"Já Que Me Ensinou a Beber","Os Barões Da Pisadinha",104813,https://open.spotify.com/track/2zv8VuCCLdcSIefH3BOeuu,2020-10-12
140,"Lençol Dobrado","João Gustavo e Murilo",104593,https://open.spotify.com/track/72xB2J9ZeBl0Rzxq2XmzdY,2020-10-12
141,"Tchau Brigado - Ao Vivo","Humberto & Ronaldo",103907,https://open.spotify.com/track/2TR917wkDeRvwTE5cSfZFf,2020-10-12
142,Chupadinha,"Os Barões Da Pisadinha",103894,https://open.spotify.com/track/0BVRi6cizWdDrLRmKI0qsw,2020-10-12
143,"Vai Me Dando Corda - Ao Vivo","Grupo Menos É Mais",103632,https://open.spotify.com/track/77ZVVjhuCtA1SF8hZYaDAF,2020-10-12
144,Amoreco,"Simone & Simaria",103403,https://open.spotify.com/track/32qETd0e2eKMs2BiMocPc0,2020-10-12
145,"Saudade em Gotas (feat. Wesley Safadão) - Ao Vivo","Yasmin Santos",101841,https://open.spotify.com/track/3ZROq16fQ1o2dWEGkHPHkJ,2020-10-12
146,"Rave Na Praia","MC Teteu",101827,https://open.spotify.com/track/50YsV2XFugoMrqJK9Ttdly,2020-10-12
147,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",100873,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S,2020-10-12
148,"Savage Love (Laxed - Siren Beat)","Jawsh 685",100836,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,2020-10-12
149,"Ouvi Dizer",Melim,100630,https://open.spotify.com/track/1qCLx3nX25NuhfPjM5E1qV,2020-10-12
150,"Festa na Roça - Ao Vivo","Os Barões Da Pisadinha",100523,https://open.spotify.com/track/0qHFGFbtymkigrHP4HAxW3,2020-10-12
151,"Ta Apaixonado Babaca","Dj Guuga",99851,https://open.spotify.com/track/7N3BrHFlnZbOs8lPGPg1gg,2020-10-12
152,"Deixa Tudo Como Tá - Ao Vivo",Thiaguinho,99817,https://open.spotify.com/track/0abrd2vT2W3JZBDNezUY7r,2020-10-12
153,"Os Boys Amam O Ex Chora","Jerry Smith",99443,https://open.spotify.com/track/2o8MYdtYZYidgpe9oIGIcy,2020-10-12
154,"Atrasadinha - Live","Felipe Araújo",98837,https://open.spotify.com/track/4DfPhCFm0Cx6VXr5Rxkx6D,2020-10-12
155,"death bed (coffee for your head)",Powfu,98632,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,2020-10-12
156,Señorita,"Shawn Mendes",97536,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2020-10-12
157,"Tempo Perdido","Legião Urbana",97122,https://open.spotify.com/track/7MnT7msJZg3XBAS0OTfGrB,2020-10-12
158,"Gorilla Roxo",Matuê,96469,https://open.spotify.com/track/0bV0LtjtZH76gD0ujPYS3n,2020-10-12
159,"Erro Antigo - Ao Vivo","Diego & Victor Hugo",96436,https://open.spotify.com/track/7qpXCkcr3Zj4LDvdiWryns,2020-10-12
160,"Para Tudo / Loucura do Seu Coração - Ao Vivo","Di Propósito",96282,https://open.spotify.com/track/21hmHvw78lceZhs5hKNW1V,2020-10-12
161,"Tão Linda","Atitude 67",96137,https://open.spotify.com/track/59WWulo1LM0njpIkcduCMn,2020-10-12
162,"Deixa (feat. Ana Gabriela)",Lagum,95444,https://open.spotify.com/track/3fLqmaO4vvZpFZSZy52VMp,2020-10-12
163,"Cheiro de Saudade - Ao Vivo","Guilherme & Benuto",94814,https://open.spotify.com/track/6q4gQcJ1JousmpmUTw0E5f,2020-10-12
164,"Rave Balança E Bafora",Ventura,94320,https://open.spotify.com/track/7tswnwncDD0zJ1JpFf13Gl,2020-10-12
165,"Ferida Curada","Zé Neto & Cristiano",94159,https://open.spotify.com/track/1U3tv41tFRgOfbytpuYQrR,2020-10-12
166,"Revoada do Tubarão","MC Ryan SP",94022,https://open.spotify.com/track/0C1cJj3ZNCS75sojrcMhZV,2020-10-12
167,"Um Pedido","Hungria Hip Hop",93413,https://open.spotify.com/track/3CgZi8DMUftJHK6WL2gKc1,2020-10-12
168,Hawái,Maluma,92883,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp,2020-10-12
169,"Péssimo Negócio (Ao Vivo)",Dilsinho,92821,https://open.spotify.com/track/5MMrkwK6AgNAsgHVdC7daZ,2020-10-12
170,"Galera do Interior (feat. Luan Estilizado) - Ao Vivo","Os Barões Da Pisadinha",92761,https://open.spotify.com/track/3Gva2sPs4jNVHqjVr9Si5n,2020-10-12
171,Girassol,"Priscilla Alcantara",92582,https://open.spotify.com/track/22rcaYTa2UgcLCbeO0NoNj,2020-10-12
172,"Rain On Me (with Ariana Grande)","Lady Gaga",91922,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9,2020-10-12
173,"Holy (feat. Chance The Rapper)","Justin Bieber",91775,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy,2020-10-12
174,"Pra Você Guardei O Amor","Nando Reis",91630,https://open.spotify.com/track/1EQ8sBQ7Abv9DvNBzhXAcv,2020-10-12
175,"Já que me ensinou a beber","Thiago Brava",90606,https://open.spotify.com/track/4aajF8YX6i8guXdLaW82eS,2020-10-12
176,"Breaking Me",Topic,90513,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po,2020-10-12
177,"Gaiola É o Troco","MC Du Black",90084,https://open.spotify.com/track/3Uq45ipGutypFPmETfaoaH,2020-10-12
178,"Nem de Graça / Saudade Arregaça - Ao Vivo",Pixote,89656,https://open.spotify.com/track/3rDAHk73LZmgJIyGZstWQ0,2020-10-12
179,"Vitória Chegou","Mc Lipi",89535,https://open.spotify.com/track/541XTa1azDkMp2cFsM1Hcw,2020-10-12
180,"A Fila Anda - Ao Vivo",Thiaguinho,89290,https://open.spotify.com/track/4pl0csAczZemDLdyNYOmxT,2020-10-12
181,"Break My Heart","Dua Lipa",89266,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT,2020-10-12
182,Believer,"Imagine Dragons",89134,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,2020-10-12
183,"Hit Contagiante","Felipe Original",89095,https://open.spotify.com/track/5dKesZwp6deuhEeW8F1UEi,2020-10-12
184,Cracudo,Tierry,88989,https://open.spotify.com/track/456nQoGd4zPrJtfeugR221,2020-10-12
185,"Vergonha pra Midia","Salvador Da Rima",88916,https://open.spotify.com/track/5JsxHA8NttHWThpTCToK1J,2020-10-12
186,"Sou Vitorioso","Mc Lele JP",88618,https://open.spotify.com/track/37hCsK2djczyRGWMjqzbxD,2020-10-12
187,Nêga,"Tarcísio do Acordeon",88614,https://open.spotify.com/track/3S2iI46NmKyZsoxs2NByIP,2020-10-12
188,"Te gusta","MC Kevinho",88568,https://open.spotify.com/track/0h5iRD8nlDtcn4rwbZzNgg,2020-10-12
189,"Mulher Cativante","MC Paulin da Capital",88440,https://open.spotify.com/track/0ItBgjbN1F82yX73rwTIg0,2020-10-12
190,Heather,"Conan Gray",87740,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,2020-10-12
191,"Piece Of Your Heart - Alok Remix",MEDUZA,87685,https://open.spotify.com/track/6iW38RGqdDGOofmz2HeXLW,2020-10-12
192,"Frieza (Ao Vivo)","Murilo Huff",87390,https://open.spotify.com/track/5rM3D9t7d7DlcsDe9RIB3b,2020-10-12
193,"Quarta Cadeira - Ao Vivo","Matheus & Kauan",87327,https://open.spotify.com/track/5q0NlM6Pm8Pp3orq7zGiRn,2020-10-12
194,"Put Your Records On","Ritt Momney",86899,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9,2020-10-12
195,"On & On",Alok,86758,https://open.spotify.com/track/7sYAS4CpbV90oSemgaEQat,2020-10-12
196,"Se Ferrou","MC Kevinho",86318,https://open.spotify.com/track/4c21Aq5C8YMDBQWt9bjYBF,2020-10-12
197,"Amor de Rapariga","Raí Saia Rodada",86279,https://open.spotify.com/track/1FM9CNCjobC3LSNEEKuPkd,2020-10-12
198,"Todo Mundo Vai Sofrer - Ao Vivo","Marília Mendonça",86219,https://open.spotify.com/track/4E6RdcCWMiHTu7zy1VTNDo,2020-10-12
199,"Rave Jogando o L","Mc Gw",86051,https://open.spotify.com/track/0AVDN1LiDn0abh39xqDRtQ,2020-10-12
200,"Não Gosto Eu Amo - Ao Vivo","Henrique & Juliano",85227,https://open.spotify.com/track/6mnySl4xEnPy0ZBBWSAHc9,2020-10-12
1,"Recairei - Ao Vivo","Os Barões Da Pisadinha",552791,https://open.spotify.com/track/71FrGl0XcpL3VId65tB5mg,2020-10-13
2,"Investe Em Mim","Jonas Esticado",544084,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7,2020-10-13
3,"Oh Juliana",Niack,497542,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt,2020-10-13
4,"Só Você","MC Rogerinho",469846,https://open.spotify.com/track/59kRq8rb5uJCrSYYbGCk7o,2020-10-13
5,"Me Gusta (with Cardi B & Myke Towers)",Anitta,403983,https://open.spotify.com/track/7e1VoRlNumuEkXlITMHKLE,2020-10-13
6,"De Menina pra Mulher - Ao Vivo","Gusttavo Lima",399100,https://open.spotify.com/track/42P3wMiPfXQM93TYZotuPQ,2020-10-13
7,"Quero Você do Jeito Que Quiser","Marília Mendonça",391447,https://open.spotify.com/track/64I6t2tuUGnIlaDIzHJ6YI,2020-10-13
8,"Café e Amor - Ao Vivo","Gusttavo Lima",390545,https://open.spotify.com/track/7benotyTvLY2vUsDKtxbiA,2020-10-13
9,"Figurinha - Ao Vivo","Douglas & Vinicius",358277,https://open.spotify.com/track/187Pge0WmJNoS73kaIORSE,2020-10-13
10,"Comprei um Lança","Mc Jacaré",358270,https://open.spotify.com/track/12v6LfkX9YIR3uLefIAAYZ,2020-10-13
11,"Sogra - Ao Vivo",Dilsinho,357011,https://open.spotify.com/track/4zsiMjB0794HztyqUkD3Zi,2020-10-13
12,"Tá Rocheda","Os Barões Da Pisadinha",347501,https://open.spotify.com/track/3dPvQLKl42dMYWV4LWRTLK,2020-10-13
13,"Basta Você Me Ligar - Ao Vivo","Os Barões Da Pisadinha",339347,https://open.spotify.com/track/3AV1KI22k1jGMz792lDrj1,2020-10-13
14,"Vai Ter Que Aguentar","Mc Don Juan",327336,https://open.spotify.com/track/5GAdMAL3tRJkVN1HtwohK2,2020-10-13
15,"Barzinho Aleatório - Ao Vivo","Zé Neto & Cristiano",325841,https://open.spotify.com/track/3WjSkl7VDWY1prwJw7dSG0,2020-10-13
16,"Poesia Acústica #9: Melhor Forma","Pineapple StormTv",323818,https://open.spotify.com/track/2fmeSswdyVq4wcqhY41UHk,2020-10-13
17,Ranking,"Jorge & Mateus",322023,https://open.spotify.com/track/0RaIjuKU5hudMteEXwr4RS,2020-10-13
18,"Máquina do Tempo",Matuê,321255,https://open.spotify.com/track/5oI9blwsXC8AkTWw6wASY8,2020-10-13
19,"Volta por Baixo - Ao Vivo","Henrique & Juliano",320645,https://open.spotify.com/track/7o9LwQmTuIDm4LyyHFIWul,2020-10-13
20,"Nem Doeu - Ao Vivo","Matheus & Kauan",318941,https://open.spotify.com/track/260n4ECk9j4IEvTAVBYojl,2020-10-13
21,"Desce Pro Play (PA PA PA)","Mc Zaac",311815,https://open.spotify.com/track/4zGtfOglDBfVUypabBwIjQ,2020-10-13
22,"WAP (feat. Megan Thee Stallion)","Cardi B",293128,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,2020-10-13
23,"Cidade Inteira","Eric Land",292311,https://open.spotify.com/track/7J3QMuDCSv56jRSiD9jFBF,2020-10-13
24,777-666,Matuê,274110,https://open.spotify.com/track/3sGcETRMuAgcPgjDpIkgMn,2020-10-13
25,"Melhor Eu Ir / Ligando os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo","Grupo Menos É Mais",272230,https://open.spotify.com/track/2ptHQBO7TQhEkXOeK9ST59,2020-10-13
26,"Briga Feia - Ao Vivo","Henrique & Juliano",270464,https://open.spotify.com/track/4j2bK4fnc2s6GyVmhJsJhk,2020-10-13
27,TOMA,"Luísa Sonza",269239,https://open.spotify.com/track/7pDcS0EVMJR0YwjXmHcCRg,2020-10-13
28,"Watermelon Sugar","Harry Styles",265517,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,2020-10-13
29,"Não Vai Embora",Dilsinho,264709,https://open.spotify.com/track/28atBekPVlTdnU4M9Z7udd,2020-10-13
30,"Deus é por nós","MC Marks",262674,https://open.spotify.com/track/6jcGoHrqfRW6fI2I6xtwBQ,2020-10-13
31,"se essa vida fosse um filme","GIULIA BE",257197,https://open.spotify.com/track/0hDphSo7vI7gCjEPpD6gu0,2020-10-13
32,"Na Raba Toma Tapão",Niack,254543,https://open.spotify.com/track/0AGS6ZRgzobrazmCi6pYMe,2020-10-13
33,"Alô Ambev (Segue Sua Vida) - Ao Vivo","Zé Neto & Cristiano",253765,https://open.spotify.com/track/5m5aY6S9ttfIG157xli2Rs,2020-10-13
34,"Amor e Fé - Acústico","Hungria Hip Hop",251586,https://open.spotify.com/track/5ra6CI0pEzqjxPEZeBz0d7,2020-10-13
35,"Desejando Eu (Ao Vivo)","Murilo Huff",250023,https://open.spotify.com/track/3056x1XkmICnQmji68rrft,2020-10-13
36,"Litrão - Ao Vivo Em Recife / 2020","Matheus & Kauan",247458,https://open.spotify.com/track/4DngRKOpRPrkbzImUB0zgh,2020-10-13
37,"S de Saudade","Luíza & Maurílio",244203,https://open.spotify.com/track/3J5Pu25BODMex4Jpy4l6FL,2020-10-13
38,"Viva Voz - Ao Vivo Em São Paulo / 2019","Lauana Prado",234703,https://open.spotify.com/track/08Sd5vVcIH3uKeAiaJdoYj,2020-10-13
39,"A Gente Fez Amor - Ao Vivo","Gusttavo Lima",228002,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5,2020-10-13
40,"Blinding Lights","The Weeknd",224608,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,2020-10-13
41,"Não Valeu","Wesley Safadão",224223,https://open.spotify.com/track/1GWUiFYLYEapxYHnASyOud,2020-10-13
42,"Liberdade Provisória - Ao Vivo","Henrique & Juliano",220422,https://open.spotify.com/track/3Ghyp3X5Ua9ypHnBIgOObI,2020-10-13
43,"Deve ser horrível dormir sem mim","Manu Gavassi",218663,https://open.spotify.com/track/6Q9NH5cNBY58nJkp5Jbs9j,2020-10-13
44,"Tudo Aconteceu","MC Du Black",217541,https://open.spotify.com/track/67mqU3FeErlvWwsxnMfvQo,2020-10-13
45,"Te Prometo",DENNIS,213862,https://open.spotify.com/track/7Ac3BmqTQoLdAt7HtZyfgN,2020-10-13
46,"Graveto - Ao Vivo","Marília Mendonça",209741,https://open.spotify.com/track/3tc8Z4lGzOIwmIVftsxO6o,2020-10-13
47,"Alô Ex-Amor - Ao Vivo","João Bosco e Gabriel",205057,https://open.spotify.com/track/2QCwoYDn4DRfjs4NhW2KpO,2020-10-13
48,Flores,Vitão,204673,https://open.spotify.com/track/25gD4PQjxCLnwIY2n23aEl,2020-10-13
49,Talarica,"Rennan da Penha",204483,https://open.spotify.com/track/01mKvmXQLhr3MEoiAEAcP2,2020-10-13
50,"Libera Ela - Ao Vivo","Maiara & Maraisa",203103,https://open.spotify.com/track/0SJtvFn4vqgJPscSbEPaql,2020-10-13
51,"Tudo no Sigilo (Vytinho NG e Bianca)","Vytinho NG",202100,https://open.spotify.com/track/60wF0XnX7A0jVpDNA5v8vi,2020-10-13
52,"menina solta","GIULIA BE",198606,https://open.spotify.com/track/2MOq63fxuFLYQM3CsDcFs1,2020-10-13
53,"Despedida - Ao Vivo","Wesley Safadão",198410,https://open.spotify.com/track/5LpLYzpV0HWKI2DlPmNywg,2020-10-13
54,"Don't Start Now","Dua Lipa",187066,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,2020-10-13
55,"Homenagem aos Relíquias (feat. Menor MC, MC Vinny, MC Julio D.E R., MC Leozinho ZS & Makalo)","DJ Matt D",186898,https://open.spotify.com/track/4vDC52DnSqAjec5Vh5yJEb,2020-10-13
56,Dynamite,BTS,183326,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY,2020-10-13
57,"Pipa Voada (feat. Emicida)",Rashid,182063,https://open.spotify.com/track/3oqC4Ta40ft6NnTJwcUTdi,2020-10-13
58,"Cheirosa - Ao Vivo","Jorge & Mateus",180673,https://open.spotify.com/track/2PWjKmjyTZeDpmOUa3a5da,2020-10-13
59,BRABA,"Luísa Sonza",177519,https://open.spotify.com/track/2WlZuBDgLfT7Kc0admhFdg,2020-10-13
60,"Rave do Papa - Deluxe (feat. Mc Rennan, MC Bruna Alves, MC BN & MC Rick) - Remix","Dj W-Beatz",173294,https://open.spotify.com/track/59CnMc5PR9GdDFEVOpHSg9,2020-10-13
61,"Saudade Sua","Gusttavo Lima",171285,https://open.spotify.com/track/6NM06xgqxQ0HU5lxbt2JHi,2020-10-13
62,"Roses - Imanbek Remix","SAINt JHN",169202,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5,2020-10-13
63,"Manda Áudio","Di Propósito",168708,https://open.spotify.com/track/0in6Rc29qdyOkhKyYw4A84,2020-10-13
64,"E Nós Tem um Charme Que É da Hora","Mc Dricka",162315,https://open.spotify.com/track/4koUrXFuoId1b6wrMF3laS,2020-10-13
65,"Romance Desapegado","Japinha Conde",161258,https://open.spotify.com/track/54OqGd3dmug64db0ZtOtF4,2020-10-13
66,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",159969,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX,2020-10-13
67,"É Sal",Matuê,157096,https://open.spotify.com/track/2c80HnIOPMmQQVQllQEWb5,2020-10-13
68,"Pulei na Piscina - Ao Vivo","Guilherme & Benuto",152204,https://open.spotify.com/track/1uA7fD01YlQr1Rm0oyNB4H,2020-10-13
69,"Mood (feat. iann dior)",24kGoldn,150984,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,2020-10-13
70,"Segunda Taça - Ao Vivo","João Bosco & Vinicius",149118,https://open.spotify.com/track/23zmMwD99ROi9yhxqMxWil,2020-10-13
71,"Amor de Fim de Noite",Orochi,147551,https://open.spotify.com/track/1Nmcs8zk7LfcvHRgLtTM5J,2020-10-13
72,"Marília Mendonça",BIN,146795,https://open.spotify.com/track/73uParILjIm5rcP0C2bpMF,2020-10-13
73,"Tudo Indica (feat. Jorge & Mateus) - Ao Vivo","Marcos & Belutti",142692,https://open.spotify.com/track/0eoMMLrWtXbLk64baeESkc,2020-10-13
74,"Declaração pro Bar - Ao Vivo","Guilherme & Benuto",139717,https://open.spotify.com/track/48CAeajgzcGJaVUSsXd7h0,2020-10-13
75,"Dance Monkey","Tones And I",139028,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2020-10-13
76,Rita,Tierry,136549,https://open.spotify.com/track/1nDCZBI8MaHXI2f36dnQyG,2020-10-13
77,"Então Toma - Ao Vivo","Matheus & Kauan",135077,https://open.spotify.com/track/5yaXBGNko8lmFSOvKWo99j,2020-10-13
78,"Pode Sumir","Luíza & Maurílio",134498,https://open.spotify.com/track/5OzvtpasMB3aPWpfVr0PsA,2020-10-13
79,Avançada,"MC Kevinho",132950,https://open.spotify.com/track/1fWITNjgwmKEonjikQUaa1,2020-10-13
80,"Ice Cream (with Selena Gomez)",BLACKPINK,132240,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz,2020-10-13
81,"Hoje É Rave","Bárbara Labres",131673,https://open.spotify.com/track/2CBpRE0A922XhWLSI8AT9O,2020-10-13
82,"Kenny G",Matuê,130173,https://open.spotify.com/track/3MkdA6vwF0ifRl86yzTlJW,2020-10-13
83,"Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix","Maverick Sabre",129869,https://open.spotify.com/track/5PNvgiKSwMdjBsDsgFCFLX,2020-10-13
84,Cogulândia,Matuê,128921,https://open.spotify.com/track/5T6mY3sQbvVfLnertXdoST,2020-10-13
85,"Cuidado Que Eu Te Supero","Yasmin Santos",126971,https://open.spotify.com/track/5J4tK2FbXQEeC0AsfFgwpz,2020-10-13
86,"Mentira - Ao Vivo","Felipe Araújo",126089,https://open.spotify.com/track/3oe0vGmQxem3DcarYMuzu1,2020-10-13
87,"Uma Vida a Mais (Listen To Your Heart)","Marília Mendonça",123812,https://open.spotify.com/track/2hqRWWmbHT9CTc5a4a9NVe,2020-10-13
88,"3 Batidas - Ao Vivo","Guilherme & Benuto",122489,https://open.spotify.com/track/1uryupl9hqVZYurJwH4G9k,2020-10-13
89,"Eu Feat. Você",Melim,121523,https://open.spotify.com/track/2PaOWQIEkSFkmONCv1Vgui,2020-10-13
90,"Supera - Ao Vivo","Marília Mendonça",121395,https://open.spotify.com/track/3GmJxfnUDrIs1iCfKUELFz,2020-10-13
91,Antes,Matuê,120917,https://open.spotify.com/track/2XymTaHTrQWDEuSyhfZvqF,2020-10-13
92,"How You Like That",BLACKPINK,119486,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o,2020-10-13
93,"Someone You Loved","Lewis Capaldi",118791,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2020-10-13
94,"Vira Homem","Marília Mendonça",117002,https://open.spotify.com/track/0GrEqRHf5FioT1hOB8PBxZ,2020-10-13
95,"(não) era amor","GIULIA BE",116179,https://open.spotify.com/track/7DmZMqXYgQ1oI3z3bGUEbi,2020-10-13
96,Pupila,ANAVITÓRIA,115956,https://open.spotify.com/track/7Gk5OrMYaMRtT2JmgJVAfk,2020-10-13
97,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,115727,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,2020-10-13
98,"Lovesick Girls",BLACKPINK,113961,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C,2020-10-13
99,"Party On My Own (feat. FAULHABER)",Alok,113544,https://open.spotify.com/track/4c9Py6O1NeuYKbJ8Ok7mTl,2020-10-13
100,SENTADÃO,"PEDRO SAMPAIO",113541,https://open.spotify.com/track/4lKuzrdZrJuCAedbIslF3A,2020-10-13
101,"Meu Abrigo",Melim,112970,https://open.spotify.com/track/5U28PY9MekLyCBYtLHGQpe,2020-10-13
102,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",112431,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S,2020-10-13
103,"Vai Lá","Wesley Safadão",112394,https://open.spotify.com/track/1NFRjwcyR91yN0cLRm8263,2020-10-13
104,"Poesia Acústica #6: Era uma Vez","Pineapple StormTv",112003,https://open.spotify.com/track/13Rf6RaZT13TW4xLQR3MQr,2020-10-13
105,Girassol,"Priscilla Alcantara",110312,https://open.spotify.com/track/22rcaYTa2UgcLCbeO0NoNj,2020-10-13
106,"Bebi Minha Bicicleta (Coração Falido) - Ao Vivo","Zé Neto & Cristiano",109211,https://open.spotify.com/track/2Q9TaUXNM4mNSCgJjbmsJe,2020-10-13
107,"Você Nem É Tudo Isso","Marília Mendonça",108422,https://open.spotify.com/track/0zhnWntcmhChM7PXSWuNNq,2020-10-13
108,"Como Se Tá Maravilhosa","Mc Lipi",108327,https://open.spotify.com/track/0eLCuW89pb6I3BC0NMGHFW,2020-10-13
109,"death bed (coffee for your head)",Powfu,107753,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,2020-10-13
110,"Só Você","Leo Santana",107450,https://open.spotify.com/track/2cV8V9eV79HWJHD4jNQHqq,2020-10-13
111,"Rain On Me (with Ariana Grande)","Lady Gaga",106800,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9,2020-10-13
112,"Holy (feat. Chance The Rapper)","Justin Bieber",106654,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy,2020-10-13
