,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
25,"Pulei na Piscina - Ao Vivo","Guilherme & Benuto",371304,https://open.spotify.com/track/1uA7fD01YlQr1Rm0oyNB4H,2020-11-01
26,"Me Gusta (with Cardi B & Myke Towers)",Anitta,353775,https://open.spotify.com/track/7e1VoRlNumuEkXlITMHKLE,2020-11-01
27,"Briga Feia - Ao Vivo","Henrique & Juliano",347931,https://open.spotify.com/track/4j2bK4fnc2s6GyVmhJsJhk,2020-11-01
28,"Viva Voz - Ao Vivo Em São Paulo / 2019","Lauana Prado",345850,https://open.spotify.com/track/08Sd5vVcIH3uKeAiaJdoYj,2020-11-01
29,"Café e Amor - Ao Vivo","Gusttavo Lima",339768,https://open.spotify.com/track/7benotyTvLY2vUsDKtxbiA,2020-11-01
30,"Litrão - Ao Vivo Em Recife / 2020","Matheus & Kauan",333537,https://open.spotify.com/track/4DngRKOpRPrkbzImUB0zgh,2020-11-01
31,"S de Saudade","Luíza & Maurílio",329952,https://open.spotify.com/track/3J5Pu25BODMex4Jpy4l6FL,2020-11-01
32,"Desce Pro Play (PA PA PA)","Mc Zaac",327993,https://open.spotify.com/track/4zGtfOglDBfVUypabBwIjQ,2020-11-01
33,"Na Raba Toma Tapão",Niack,315642,https://open.spotify.com/track/0AGS6ZRgzobrazmCi6pYMe,2020-11-01
34,"Amor e Fé - Acústico","Hungria Hip Hop",308994,https://open.spotify.com/track/5ra6CI0pEzqjxPEZeBz0d7,2020-11-01
35,"Liberdade Provisória - Ao Vivo","Henrique & Juliano",303759,https://open.spotify.com/track/3Ghyp3X5Ua9ypHnBIgOObI,2020-11-01
36,"Despedida - Ao Vivo","Wesley Safadão",295804,https://open.spotify.com/track/5LpLYzpV0HWKI2DlPmNywg,2020-11-01
37,positions,"Ariana Grande",295216,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,2020-11-01
38,"Poesia Acústica #9: Melhor Forma","Pineapple StormTv",284941,https://open.spotify.com/track/2fmeSswdyVq4wcqhY41UHk,2020-11-01
39,"A Gente Fez Amor - Ao Vivo","Gusttavo Lima",279629,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5,2020-11-01
40,"Romance Desapegado","Japinha Conde",275140,https://open.spotify.com/track/54OqGd3dmug64db0ZtOtF4,2020-11-01
41,"Graveto - Ao Vivo","Marília Mendonça",269907,https://open.spotify.com/track/3tc8Z4lGzOIwmIVftsxO6o,2020-11-01
42,"Tudo Indica (feat. Jorge & Mateus) - Ao Vivo","Marcos & Belutti",268430,https://open.spotify.com/track/0eoMMLrWtXbLk64baeESkc,2020-11-01
43,"Deus é por nós","MC Marks",264837,https://open.spotify.com/track/6jcGoHrqfRW6fI2I6xtwBQ,2020-11-01
44,"Libera Ela - Ao Vivo","Maiara & Maraisa",261768,https://open.spotify.com/track/0SJtvFn4vqgJPscSbEPaql,2020-11-01
45,"Casa de Praia - Ao Vivo","Os Barões Da Pisadinha",255944,https://open.spotify.com/track/6Teco2qa7OBfa7mjaMYSbO,2020-11-01
46,TOMA,"Luísa Sonza",249997,https://open.spotify.com/track/7pDcS0EVMJR0YwjXmHcCRg,2020-11-01
47,"Máquina do Tempo",Matuê,248972,https://open.spotify.com/track/5oI9blwsXC8AkTWw6wASY8,2020-11-01
48,Talarica,"Rennan da Penha",243740,https://open.spotify.com/track/01mKvmXQLhr3MEoiAEAcP2,2020-11-01
49,"Segunda Taça - Ao Vivo","João Bosco & Vinicius",235157,https://open.spotify.com/track/23zmMwD99ROi9yhxqMxWil,2020-11-01
50,"Watermelon Sugar","Harry Styles",231417,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,2020-11-01
51,"Cheirosa - Ao Vivo","Jorge & Mateus",229289,https://open.spotify.com/track/2PWjKmjyTZeDpmOUa3a5da,2020-11-01
52,"WAP (feat. Megan Thee Stallion)","Cardi B",224550,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,2020-11-01
53,"Pode Sumir","Luíza & Maurílio",224157,https://open.spotify.com/track/5OzvtpasMB3aPWpfVr0PsA,2020-11-01
54,"se essa vida fosse um filme","GIULIA BE",219809,https://open.spotify.com/track/0hDphSo7vI7gCjEPpD6gu0,2020-11-01
55,"Blinding Lights","The Weeknd",215479,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,2020-11-01
56,"Te Prometo",DENNIS,213092,https://open.spotify.com/track/7Ac3BmqTQoLdAt7HtZyfgN,2020-11-01
57,"Tudo que Eu Queria - Ao Vivo","Gusttavo Lima",212906,https://open.spotify.com/track/4VfG3ntsNSyNr7lPZZyvTE,2020-11-01
58,"Facas - Ao Vivo","Diego & Victor Hugo",211832,https://open.spotify.com/track/1ere9b9vDw2N3m9d4uiXxa,2020-11-01
59,"Não Vai Embora",Dilsinho,210861,https://open.spotify.com/track/28atBekPVlTdnU4M9Z7udd,2020-11-01
60,"Manda Áudio","Di Propósito",208244,https://open.spotify.com/track/0in6Rc29qdyOkhKyYw4A84,2020-11-01
61,"Tudo Aconteceu","MC Du Black",208200,https://open.spotify.com/track/67mqU3FeErlvWwsxnMfvQo,2020-11-01
62,"Saudade Sua","Gusttavo Lima",203787,https://open.spotify.com/track/6NM06xgqxQ0HU5lxbt2JHi,2020-11-01
63,"Declaração pro Bar - Ao Vivo","Guilherme & Benuto",200245,https://open.spotify.com/track/48CAeajgzcGJaVUSsXd7h0,2020-11-01
64,"Homenagem aos Relíquias (feat. Menor MC, MC Vinny, MC Julio D.E R., MC Leozinho ZS & Makalo)","DJ Matt D",198482,https://open.spotify.com/track/4vDC52DnSqAjec5Vh5yJEb,2020-11-01
65,"Tudo no Sigilo (Vytinho NG e Bianca)","Vytinho NG",198434,https://open.spotify.com/track/60wF0XnX7A0jVpDNA5v8vi,2020-11-01
66,"Cabeça Voando","Os Barões Da Pisadinha",197781,https://open.spotify.com/track/6wDzwmywQ2X8O0FN1IQGol,2020-11-01
67,"3 Batidas - Ao Vivo","Guilherme & Benuto",186489,https://open.spotify.com/track/1uryupl9hqVZYurJwH4G9k,2020-11-01
68,"Um Sabadão Desse Uma Lua Dessa","Mc Talibã",185808,https://open.spotify.com/track/3KfyRuNdcCGsZb15sqrXDA,2020-11-01
69,777-666,Matuê,185701,https://open.spotify.com/track/3sGcETRMuAgcPgjDpIkgMn,2020-11-01
70,"Se Namorar Fosse Bom - Ao Vivo","Os Barões Da Pisadinha",185586,https://open.spotify.com/track/39d68jIHbCiFdXWI6jmALW,2020-11-01
71,Avançada,"MC Kevinho",181130,https://open.spotify.com/track/1fWITNjgwmKEonjikQUaa1,2020-11-01
72,"Mentira - Ao Vivo","Felipe Araújo",179303,https://open.spotify.com/track/3oe0vGmQxem3DcarYMuzu1,2020-11-01
73,Letícia,"Zé Vaqueiro",178135,https://open.spotify.com/track/6hMgrcA1OpqYBDPyzYcosI,2020-11-01
74,BRABA,"Luísa Sonza",175327,https://open.spotify.com/track/2WlZuBDgLfT7Kc0admhFdg,2020-11-01
75,"Bebi Minha Bicicleta (Coração Falido) - Ao Vivo","Zé Neto & Cristiano",171918,https://open.spotify.com/track/2Q9TaUXNM4mNSCgJjbmsJe,2020-11-01
76,"Seu Beijo Joga Sujo","Avine Vinny",170338,https://open.spotify.com/track/2enk2whIgJyoe0O9HRQZJV,2020-11-01
77,"Marília Mendonça",BIN,168890,https://open.spotify.com/track/73uParILjIm5rcP0C2bpMF,2020-11-01
78,"Só Você","Leo Santana",167003,https://open.spotify.com/track/2cV8V9eV79HWJHD4jNQHqq,2020-11-01
79,"Então Toma - Ao Vivo","Matheus & Kauan",165166,https://open.spotify.com/track/5yaXBGNko8lmFSOvKWo99j,2020-11-01
80,"menina solta","GIULIA BE",164230,https://open.spotify.com/track/2MOq63fxuFLYQM3CsDcFs1,2020-11-01
81,"E Nós Tem um Charme Que É da Hora","Mc Dricka",163261,https://open.spotify.com/track/4koUrXFuoId1b6wrMF3laS,2020-11-01
82,"Como Se Tá Maravilhosa","Mc Lipi",158994,https://open.spotify.com/track/0eLCuW89pb6I3BC0NMGHFW,2020-11-01
83,"Deve ser horrível dormir sem mim","Manu Gavassi",157579,https://open.spotify.com/track/6Q9NH5cNBY58nJkp5Jbs9j,2020-11-01
84,"Cuidado Que Eu Te Supero","Yasmin Santos",156849,https://open.spotify.com/track/5J4tK2FbXQEeC0AsfFgwpz,2020-11-01
85,Cabaré,"Dj Guuga",156392,https://open.spotify.com/track/0N2cvvlyEw5NFc00E3FB0D,2020-11-01
86,"Bebe e Vem Me Procurar","Raí Saia Rodada",156239,https://open.spotify.com/track/3tu0GkIZwwkmILoD4HemBq,2020-11-01
87,"Pipa Voada (feat. Emicida)",Rashid,155918,https://open.spotify.com/track/3oqC4Ta40ft6NnTJwcUTdi,2020-11-01
88,"Ta Com Saudade Quer TBT ?","Mc Talibã",155745,https://open.spotify.com/track/4i1U2ZQJdVCAczbiwsXf3H,2020-11-01
89,"Uma Vida a Mais (Listen To Your Heart)","Marília Mendonça",155675,https://open.spotify.com/track/2hqRWWmbHT9CTc5a4a9NVe,2020-11-01
90,"Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix","Maverick Sabre",154526,https://open.spotify.com/track/5PNvgiKSwMdjBsDsgFCFLX,2020-11-01
91,"Fala Comigo Bebê - Ao Vivo","Os Barões Da Pisadinha",153692,https://open.spotify.com/track/1dHfCJMj1eJMFcKF7VzqR5,2020-11-01
92,"Supera - Ao Vivo","Marília Mendonça",153466,https://open.spotify.com/track/3GmJxfnUDrIs1iCfKUELFz,2020-11-01
93,"Senta Concentrada (feat. MC WS)","MC Mari",151290,https://open.spotify.com/track/62tcTmWpOcqFfZNWrheU1T,2020-11-01
94,"Ta Apaixonado Babaca","Dj Guuga",149360,https://open.spotify.com/track/7N3BrHFlnZbOs8lPGPg1gg,2020-11-01
95,"Vai Lá","Wesley Safadão",148736,https://open.spotify.com/track/1NFRjwcyR91yN0cLRm8263,2020-11-01
96,"Século 21","Leo Santana",147978,https://open.spotify.com/track/7jiGFTWeO3MmMN9dpHRjUZ,2020-11-01
97,"Vira Homem","Marília Mendonça",147921,https://open.spotify.com/track/0GrEqRHf5FioT1hOB8PBxZ,2020-11-01
98,"Aí Eu Bebo - Ao Vivo","Maiara & Maraisa",144937,https://open.spotify.com/track/2Ou6UYuUbNyqwXxRDSeFRf,2020-11-01
99,"Don't Start Now","Dua Lipa",144223,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,2020-11-01
100,"Textão - Ao Vivo","Zé Neto & Cristiano",143158,https://open.spotify.com/track/2uhBCMHwS3SATOHIgM2KPF,2020-11-01
101,Flores,Vitão,141979,https://open.spotify.com/track/25gD4PQjxCLnwIY2n23aEl,2020-11-01
102,"Roses - Imanbek Remix","SAINt JHN",141690,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5,2020-11-01
103,Hb20,Tierry,140983,https://open.spotify.com/track/4cjowWOdLUKomiRwhWpRXJ,2020-11-01
104,"Você Nem É Tudo Isso","Marília Mendonça",140563,https://open.spotify.com/track/0zhnWntcmhChM7PXSWuNNq,2020-11-01
105,Confidencial,"Wesley Safadão",140551,https://open.spotify.com/track/7Kb4TOsH22ZLrBkZx1p0SZ,2020-11-01
106,"Eu Tenho Medo","Zé Vaqueiro",138979,https://open.spotify.com/track/2bWkoJEjcPiBKnKqvTJ25D,2020-11-01
107,"Agora Eu Pego Mesmo","Os Barões Da Pisadinha",137807,https://open.spotify.com/track/6OsMu5ntYteQzcCrZVWA33,2020-11-01
108,"Mood (feat. iann dior)",24kGoldn,136755,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,2020-11-01
109,"O Matuto Se Apaixonou","Os Barões Da Pisadinha",134093,https://open.spotify.com/track/09KUam5nfzNEXSSV9zWiT9,2020-11-01
110,"Qual é a do amor (feat. Atitude 67) - Ao vivo","João Gustavo e Murilo",133875,https://open.spotify.com/track/3rfPuNpqMHQKXIPoEF5iFB,2020-11-01
111,SENTADÃO,"PEDRO SAMPAIO",132802,https://open.spotify.com/track/4lKuzrdZrJuCAedbIslF3A,2020-11-01
112,"Party On My Own (feat. FAULHABER)",Alok,131860,https://open.spotify.com/track/4c9Py6O1NeuYKbJ8Ok7mTl,2020-11-01
113,"Tempo de Aprender / Energia Surreal / Não Pedi Pra Me Apaixonar - Ao Vivo","Grupo Menos É Mais",131255,https://open.spotify.com/track/3COVZV6VRP4sdXiWTB1XTM,2020-11-01
114,"Bebê Vem Me Procurar","Os Barões Da Pisadinha",130788,https://open.spotify.com/track/4nyQshn0cfaRvvnu02Wcqn,2020-11-01
115,34+35,"Ariana Grande",130330,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF,2020-11-01
116,"Se Eu Fosse Você - Ao Vivo","Henrique & Juliano",130184,https://open.spotify.com/track/3HXLUh9lzSrSLvrvLk2LjC,2020-11-01
117,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",130180,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX,2020-11-01
118,"Rave Balança E Bafora",Ventura,129692,https://open.spotify.com/track/7tswnwncDD0zJ1JpFf13Gl,2020-11-01
119,"Hoje É Rave","Bárbara Labres",128678,https://open.spotify.com/track/2CBpRE0A922XhWLSI8AT9O,2020-11-01
120,Dynamite,BTS,128152,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY,2020-11-01
121,"Relógio Parado (Ao Vivo)","Diego & Arnaldo",127829,https://open.spotify.com/track/5n8Y78Pl5q8lqS7sJP61qw,2020-11-01
122,"Certo e Duvidoso (feat. Gaab) - Ao Vivo","Marcos & Belutti",127626,https://open.spotify.com/track/6TL6UYmqRVC5PuVQb0R1h5,2020-11-01
123,"Quem Traiu Levou - Ao Vivo","Gusttavo Lima",127133,https://open.spotify.com/track/17Ryox5vWKp92IDW87C5PI,2020-11-01
124,"Pisadinha - Ao Vivo","Diego & Victor Hugo",126359,https://open.spotify.com/track/36P6ptTyxOggYgR2aoZiAl,2020-11-01
125,"Quem me Colocou pra Beber - Ao Vivo","Os Barões Da Pisadinha",125858,https://open.spotify.com/track/5gxafAUHcggnZd6Vn4csDS,2020-11-01
126,"Dance Monkey","Tones And I",123895,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2020-11-01
127,Reincidente,"Felipe Araújo",123653,https://open.spotify.com/track/3XG1frltSxibGuYLPucxl8,2020-11-01
128,"Áudio - Ao Vivo em Brasília","Diego & Victor Hugo",123204,https://open.spotify.com/track/2PqPSf3gtTED79rWGwVtYg,2020-11-01
129,"Revoada do Tubarão","MC Ryan SP",122487,https://open.spotify.com/track/0C1cJj3ZNCS75sojrcMhZV,2020-11-01
130,"Carreira Solo - Ao Vivo","Gusttavo Lima",121256,https://open.spotify.com/track/1MmS7UIy3J1BTxfGCRvVqN,2020-11-01
131,"Amor de Fim de Noite",Orochi,116860,https://open.spotify.com/track/1Nmcs8zk7LfcvHRgLtTM5J,2020-11-01
132,"Fatalmente / Separação / Temporal - Ao Vivo","Grupo Menos É Mais",114671,https://open.spotify.com/track/0mpqoslgBvHcnbNZhK8wBO,2020-11-01
133,"Don't Say Goodbye (feat. Tove Lo)",Alok,114072,https://open.spotify.com/track/0GTPmh5G40joBg93vcSQNq,2020-11-01
134,"Já Que Me Ensinou a Beber","Os Barões Da Pisadinha",113846,https://open.spotify.com/track/2zv8VuCCLdcSIefH3BOeuu,2020-11-01
135,"motive (with Doja Cat)","Ariana Grande",113411,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT,2020-11-01
136,"Galera do Interior (feat. Luan Estilizado) - Ao Vivo","Os Barões Da Pisadinha",113275,https://open.spotify.com/track/13RXITECLKVELnwbZ2iclf,2020-11-01
137,"Meu Lado da História",Nandx710,112491,https://open.spotify.com/track/08LiZsFrLkWYtd20jeqWLh,2020-11-01
138,"Amor de Rapariga","Raí Saia Rodada",112288,https://open.spotify.com/track/1FM9CNCjobC3LSNEEKuPkd,2020-11-01
139,"Festa na Roça - Ao Vivo","Os Barões Da Pisadinha",112164,https://open.spotify.com/track/2Zrcs0ePEBsZhsD6fm5yT1,2020-11-01
140,"Tchau Brigado - Ao Vivo","Humberto & Ronaldo",111337,https://open.spotify.com/track/2TR917wkDeRvwTE5cSfZFf,2020-11-01
141,"Rave Na Praia","MC Teteu",110451,https://open.spotify.com/track/50YsV2XFugoMrqJK9Ttdly,2020-11-01
142,MORE,K/DA,109451,https://open.spotify.com/track/6juLaduD4STCUDWT0AYun4,2020-11-01
143,Cracudo,Tierry,108632,https://open.spotify.com/track/456nQoGd4zPrJtfeugR221,2020-11-01
144,"Saudade em Gotas (feat. Wesley Safadão) - Ao Vivo","Yasmin Santos",108502,https://open.spotify.com/track/3ZROq16fQ1o2dWEGkHPHkJ,2020-11-01
145,Nêga,"Tarcísio do Acordeon",107640,https://open.spotify.com/track/3S2iI46NmKyZsoxs2NByIP,2020-11-01
146,"É Sal",Matuê,107191,https://open.spotify.com/track/2c80HnIOPMmQQVQllQEWb5,2020-11-01
147,"Kenny G",Matuê,106801,https://open.spotify.com/track/3MkdA6vwF0ifRl86yzTlJW,2020-11-01
148,"Xereca de Mel","Shevchenko e Elloco",106721,https://open.spotify.com/track/3csAhPJlNeCDnvuTdT8RQw,2020-11-01
149,"Vai Me Dando Corda - Ao Vivo","Grupo Menos É Mais",105664,https://open.spotify.com/track/77ZVVjhuCtA1SF8hZYaDAF,2020-11-01
150,Recaída,"Grupo Menos É Mais",105423,https://open.spotify.com/track/49rtHPYe4eny7j1sbDrm8j,2020-11-01
151,"Com ou Sem Mim - Ao Vivo","Gustavo Mioto",105023,https://open.spotify.com/track/5L8ZEyIdZ2KE4Wf51SsuOF,2020-11-01
152,Amoreco,"Simone & Simaria",103442,https://open.spotify.com/track/32qETd0e2eKMs2BiMocPc0,2020-11-01
153,"Meu Abrigo",Melim,103042,https://open.spotify.com/track/5U28PY9MekLyCBYtLHGQpe,2020-11-01
154,"Chupadinha - Ao Vivo","Os Barões Da Pisadinha",101260,https://open.spotify.com/track/2iBXt9pp62cwO2DRv70Ml8,2020-11-01
155,"Deixa Tudo Como Tá - Ao Vivo",Thiaguinho,101111,https://open.spotify.com/track/0abrd2vT2W3JZBDNezUY7r,2020-11-01
156,Hakearam-Me,Tierry,99654,https://open.spotify.com/track/42G8nHyHOruX6kp9CTqGLf,2020-11-01
157,"Erro Antigo - Ao Vivo","Diego & Victor Hugo",98610,https://open.spotify.com/track/7qpXCkcr3Zj4LDvdiWryns,2020-11-01
158,Abstinência,"Yasmin Santos",98506,https://open.spotify.com/track/2PSfQTEMmWg1co7MoDMKNb,2020-11-01
159,"Rave Jogando o L","Mc Gw",97217,https://open.spotify.com/track/0AVDN1LiDn0abh39xqDRtQ,2020-11-01
160,inesquecível,"GIULIA BE",96496,https://open.spotify.com/track/3bUDPTCStUeLcUgXgvepQh,2020-11-01
161,"Batom De Ouro - Ao Vivo","Os Barões Da Pisadinha",95757,https://open.spotify.com/track/2KEZ1NCCy9utpQ8Dg1TTpk,2020-11-01
162,"Tijolão - Ao Vivo","Jorge & Mateus",95718,https://open.spotify.com/track/6QwFUcPc5nhsqZuhXUYtV7,2020-11-01
163,Morena,"MC Paulin da Capital",95709,https://open.spotify.com/track/2W0VenqvlMW4c65YsxT5zu,2020-11-01
164,"Someone You Loved","Lewis Capaldi",95620,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2020-11-01
165,Chupadinha,"Os Barões Da Pisadinha",94856,https://open.spotify.com/track/0BVRi6cizWdDrLRmKI0qsw,2020-11-01
166,Pupila,ANAVITÓRIA,92998,https://open.spotify.com/track/7Gk5OrMYaMRtT2JmgJVAfk,2020-11-01
167,"Tempo Perdido","Legião Urbana",92985,https://open.spotify.com/track/7MnT7msJZg3XBAS0OTfGrB,2020-11-01
168,"Lençol Dobrado","João Gustavo e Murilo",92504,https://open.spotify.com/track/72xB2J9ZeBl0Rzxq2XmzdY,2020-11-01
169,BALANÇA,"WC no Beat",92410,https://open.spotify.com/track/1neg4NArvpVL7AOWIBja6q,2020-11-01
170,"Poesia Acústica #6: Era uma Vez","Pineapple StormTv",92130,https://open.spotify.com/track/13Rf6RaZT13TW4xLQR3MQr,2020-11-01
171,"Eu Feat. Você",Melim,91714,https://open.spotify.com/track/2PaOWQIEkSFkmONCv1Vgui,2020-11-01
172,"How You Like That",BLACKPINK,91599,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o,2020-11-01
173,"Piseiro Estourou - Ao Vivo","Os Barões Da Pisadinha",91180,https://open.spotify.com/track/2BfkANDQnT02HnGkXvNyDK,2020-11-01
174,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,91133,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,2020-11-01
175,"Para Tudo / Loucura do Seu Coração - Ao Vivo","Di Propósito",90793,https://open.spotify.com/track/21hmHvw78lceZhs5hKNW1V,2020-11-01
176,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",90771,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S,2020-11-01
177,"SET DJ GM 2.0","MC Paulin da Capital",90420,https://open.spotify.com/track/38BuaDkieTqCDqaawXsf78,2020-11-01
178,"Mamãe Que É Mamãe","Os Barões Da Pisadinha",89992,https://open.spotify.com/track/0ZIof6h8kl4LCZFy6VN5Kt,2020-11-01
179,"Ele Não Tem","Jonas Esticado",89379,https://open.spotify.com/track/1JHvLQWHUoYuapwQikeDuD,2020-11-01
180,"Com Ele é Cinema, Comigo é Cama - Ao Vivo","Os Barões Da Pisadinha",88994,https://open.spotify.com/track/7uwJycx7qWVlSRui1Ogei8,2020-11-01
181,"Seu Gostoso, Rebola e Joga (feat. Mc Ká de Paris, Dj Novinho do Jaca & DJ Lula do Jaca)","Mc Juninho FSF",88512,https://open.spotify.com/track/7bXYz8VjWW5xKFY4fAkJ6U,2020-11-01
182,"Vem Me Satisfazer","MC Ingryd",88490,https://open.spotify.com/track/63SHcJzckFykS8faA5zojY,2020-11-01
183,"Cupido Fdp 2","MC Rick",88121,https://open.spotify.com/track/1D4Jo67A2x8qvAUKu2S12y,2020-11-01
184,"(não) era amor","GIULIA BE",87821,https://open.spotify.com/track/7DmZMqXYgQ1oI3z3bGUEbi,2020-11-01
185,"Matuto de Verdade","Mano Walter",87577,https://open.spotify.com/track/4gryO2XRHDvVgDfAoxZCi4,2020-11-01
186,"Cheiro de Saudade - Ao Vivo","Guilherme & Benuto",87458,https://open.spotify.com/track/6q4gQcJ1JousmpmUTw0E5f,2020-11-01
187,"Hit Contagiante","Felipe Original",87450,https://open.spotify.com/track/5dKesZwp6deuhEeW8F1UEi,2020-11-01
188,"Já que me ensinou a beber","Thiago Brava",87333,https://open.spotify.com/track/4aajF8YX6i8guXdLaW82eS,2020-11-01
189,"Atrasadinha - Live","Felipe Araújo",86773,https://open.spotify.com/track/4DfPhCFm0Cx6VXr5Rxkx6D,2020-11-01
190,Uau!,"Costa Gold",86688,https://open.spotify.com/track/5jo4ocTfihMYTsq1Z4ze9h,2020-11-01
191,"Um Pedido","Hungria Hip Hop",86662,https://open.spotify.com/track/3CgZi8DMUftJHK6WL2gKc1,2020-11-01
192,"O Maestro dos Fluxos","DJ Ery",86520,https://open.spotify.com/track/0yq4hmZV3SUzaLrvqOe00e,2020-11-01
193,"Gaiola É o Troco","MC Du Black",86466,https://open.spotify.com/track/3Uq45ipGutypFPmETfaoaH,2020-11-01
194,"Ouvi Dizer",Melim,86215,https://open.spotify.com/track/1qCLx3nX25NuhfPjM5E1qV,2020-11-01
195,"Se Ferrou","MC Kevinho",86080,https://open.spotify.com/track/4c21Aq5C8YMDBQWt9bjYBF,2020-11-01
196,"Ice Cream (with Selena Gomez)",BLACKPINK,86024,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz,2020-11-01
197,"Piece Of Your Heart - Alok Remix",MEDUZA,85815,https://open.spotify.com/track/6iW38RGqdDGOofmz2HeXLW,2020-11-01
198,"off the table (with The Weeknd)","Ariana Grande",85551,https://open.spotify.com/track/7E1jVNoWuemqUryI4FxsVD,2020-11-01
