,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL,data_chart
1,"Recairei - Ao Vivo","Os Barões Da Pisadinha",985618,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP,2020-11-01
2,"Investe Em Mim","Jonas Esticado",819784,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7,2020-11-01
3,"Basta Você Me Ligar - Ao Vivo","Os Barões Da Pisadinha",644469,https://open.spotify.com/track/3rRin3LyLY92kpEbkCgwf4,2020-11-01
4,"Figurinha - Ao Vivo","Douglas & Vinicius",641830,https://open.spotify.com/track/187Pge0WmJNoS73kaIORSE,2020-11-01
5,"De Menina pra Mulher - Ao Vivo","Gusttavo Lima",626150,https://open.spotify.com/track/42P3wMiPfXQM93TYZotuPQ,2020-11-01
6,"Oh Juliana",Niack,621201,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt,2020-11-01
7,"Cidade Inteira","Eric Land",578172,https://open.spotify.com/track/7J3QMuDCSv56jRSiD9jFBF,2020-11-01
8,"Tá Rocheda","Os Barões Da Pisadinha",572397,https://open.spotify.com/track/3dPvQLKl42dMYWV4LWRTLK,2020-11-01
9,"Só Você","MC Rogerinho",561347,https://open.spotify.com/track/59kRq8rb5uJCrSYYbGCk7o,2020-11-01
10,"Quero Você do Jeito Que Quiser","Marília Mendonça",528676,https://open.spotify.com/track/64I6t2tuUGnIlaDIzHJ6YI,2020-11-01
11,"Sogra - Ao Vivo",Dilsinho,497818,https://open.spotify.com/track/4zsiMjB0794HztyqUkD3Zi,2020-11-01
12,Rita,Tierry,495562,https://open.spotify.com/track/1nDCZBI8MaHXI2f36dnQyG,2020-11-01
13,"Barzinho Aleatório - Ao Vivo","Zé Neto & Cristiano",486996,https://open.spotify.com/track/3WjSkl7VDWY1prwJw7dSG0,2020-11-01
14,"Nem Doeu - Ao Vivo","Matheus & Kauan",466511,https://open.spotify.com/track/260n4ECk9j4IEvTAVBYojl,2020-11-01
15,"Comprei um Lança","Mc Jacaré",452944,https://open.spotify.com/track/12v6LfkX9YIR3uLefIAAYZ,2020-11-01
16,"Alô Ex-Amor - Ao Vivo","João Bosco e Gabriel",450495,https://open.spotify.com/track/2QCwoYDn4DRfjs4NhW2KpO,2020-11-01
17,"Volta por Baixo - Ao Vivo","Henrique & Juliano",449552,https://open.spotify.com/track/7o9LwQmTuIDm4LyyHFIWul,2020-11-01
18,"Alô Ambev (Segue Sua Vida) - Ao Vivo","Zé Neto & Cristiano",440710,https://open.spotify.com/track/5m5aY6S9ttfIG157xli2Rs,2020-11-01
19,Ranking,"Jorge & Mateus",393962,https://open.spotify.com/track/0RaIjuKU5hudMteEXwr4RS,2020-11-01
20,"Vai Ter Que Aguentar","Mc Don Juan",385302,https://open.spotify.com/track/5GAdMAL3tRJkVN1HtwohK2,2020-11-01
21,"Desejando Eu (Ao Vivo)","Murilo Huff",384327,https://open.spotify.com/track/3056x1XkmICnQmji68rrft,2020-11-01
22,"Melhor Eu Ir / Ligando os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo","Grupo Menos É Mais",383207,https://open.spotify.com/track/2ptHQBO7TQhEkXOeK9ST59,2020-11-01
23,"Só Tem Eu","Zé Felipe",375433,https://open.spotify.com/track/1X0MaGErD8rcspqQs9s2m0,2020-11-01
24,"Não Valeu","Wesley Safadão",371575,https://open.spotify.com/track/1GWUiFYLYEapxYHnASyOud,2020-11-01
