,Position,"Track Name",Artist,Streams,URL,data_chart
41,"Barzinho Aleatório - Ao Vivo","Zé Neto & Cristiano",236541,https://open.spotify.com/track/4KLvGldnzUZU4xdELyWBom,2020-12-01
42,"Desce Pro Play (PA PA PA)","Mc Zaac",234311,https://open.spotify.com/track/4zGtfOglDBfVUypabBwIjQ,2020-12-01
43,"Watermelon Sugar","Harry Styles",231403,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,2020-12-01
44,"Não Valeu","Wesley Safadão",230585,https://open.spotify.com/track/1GWUiFYLYEapxYHnASyOud,2020-12-01
45,Ranking,"Jorge & Mateus",227895,https://open.spotify.com/track/0RaIjuKU5hudMteEXwr4RS,2020-12-01
46,"Briga Feia - Ao Vivo","Henrique & Juliano",224477,https://open.spotify.com/track/3Xuo5utyzk86BwlUHdTR2O,2020-12-01
47,"Vai Ter Que Aguentar","Mc Don Juan",221800,https://open.spotify.com/track/5GAdMAL3tRJkVN1HtwohK2,2020-12-01
48,"Romance Desapegado","Japinha Conde",221671,https://open.spotify.com/track/54OqGd3dmug64db0ZtOtF4,2020-12-01
49,"Século 21","Leo Santana",219679,https://open.spotify.com/track/7jiGFTWeO3MmMN9dpHRjUZ,2020-12-01
50,"Viva Voz - Ao Vivo Em São Paulo / 2019","Lauana Prado",215905,https://open.spotify.com/track/08Sd5vVcIH3uKeAiaJdoYj,2020-12-01
51,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",215457,https://open.spotify.com/track/2Z8yfpFX0ZMavHkcIeHiO1,2020-12-01
52,"Prisoner (feat. Dua Lipa)","Miley Cyrus",201067,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B,2020-12-01
53,"S de Saudade","Luíza & Maurílio",192568,https://open.spotify.com/track/3J5Pu25BODMex4Jpy4l6FL,2020-12-01
54,"É Problema","Matheus & Kauan",186971,https://open.spotify.com/track/5gTgQBtNP08fUijxpEgmzF,2020-12-01
55,"se essa vida fosse um filme","GIULIA BE",185434,https://open.spotify.com/track/0hDphSo7vI7gCjEPpD6gu0,2020-12-01
56,"Deus é por nós","MC Marks",183655,https://open.spotify.com/track/6jcGoHrqfRW6fI2I6xtwBQ,2020-12-01
57,TOMA,"Luísa Sonza",176264,https://open.spotify.com/track/7pDcS0EVMJR0YwjXmHcCRg,2020-12-01
58,"Ele É Ele, Eu Sou Eu","Wesley Safadão",174390,https://open.spotify.com/track/7EWXP47VlXKO3r7mNxuWHw,2020-12-01
59,"Despedida - Ao Vivo","Wesley Safadão",172407,https://open.spotify.com/track/5LpLYzpV0HWKI2DlPmNywg,2020-12-01
60,"WAP (feat. Megan Thee Stallion)","Cardi B",171972,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,2020-12-01
61,"Don't Start Now","Dua Lipa",169811,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,2020-12-01
62,"Liberdade Provisória - Ao Vivo","Henrique & Juliano",169588,https://open.spotify.com/track/4Y0gR2tYML083T6b2vhJrn,2020-12-01
63,"menina solta","GIULIA BE",169118,https://open.spotify.com/track/2MOq63fxuFLYQM3CsDcFs1,2020-12-01
64,"Graveto - Ao Vivo","Marília Mendonça",167895,https://open.spotify.com/track/3tc8Z4lGzOIwmIVftsxO6o,2020-12-01
65,Dynamite,BTS,167120,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc,2020-12-01
66,"Litrão - Ao Vivo Em Recife / 2020","Matheus & Kauan",165257,https://open.spotify.com/track/4DngRKOpRPrkbzImUB0zgh,2020-12-01
67,"Manda Áudio","Di Propósito",164291,https://open.spotify.com/track/0in6Rc29qdyOkhKyYw4A84,2020-12-01
68,"Eu Tenho Medo","Zé Vaqueiro",161766,https://open.spotify.com/track/5TU6HG6Ltm7ZYr3r5dZjsA,2020-12-01
69,"Café e Amor - Ao Vivo","Gusttavo Lima",161154,https://open.spotify.com/track/7benotyTvLY2vUsDKtxbiA,2020-12-01
70,"Tudo Indica (feat. Jorge & Mateus) - Ao Vivo","Marcos & Belutti",160663,https://open.spotify.com/track/0eoMMLrWtXbLk64baeESkc,2020-12-01
71,"Pode Sumir","Luíza & Maurílio",159206,https://open.spotify.com/track/5OzvtpasMB3aPWpfVr0PsA,2020-12-01
72,"Deve ser horrível dormir sem mim","Manu Gavassi",157147,https://open.spotify.com/track/6Q9NH5cNBY58nJkp5Jbs9j,2020-12-01
73,"Homenagem aos Relíquias (feat. Menor MC, MC Vinny, MC Julio D.E R., MC Leozinho ZS & Makalo)","DJ Matt D",157131,https://open.spotify.com/track/4vDC52DnSqAjec5Vh5yJEb,2020-12-01
74,Hackearam-Me,Tierry,157033,https://open.spotify.com/track/5NeBu4oKweDXIjhvYqtbLo,2020-12-01
75,"Set 2.0: Homenagem aos Relíquias","DJ Matt D",153964,https://open.spotify.com/track/566AZpR4FJErkhS3CmuaWu,2020-12-01
76,"Therefore I Am","Billie Eilish",153211,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha,2020-12-01
77,Nêga,"Tarcísio do Acordeon",153119,https://open.spotify.com/track/3S2iI46NmKyZsoxs2NByIP,2020-12-01
78,"Esses Vícios","Zé Neto & Cristiano",152786,https://open.spotify.com/track/2InUVOBY515umeuwdQtsQ4,2020-12-01
79,"Mood (feat. iann dior)",24kGoldn,150598,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,2020-12-01
